rgn_id,count,year
8,56323,2009
8,56905,2010
8,56905,2011
8,56840,2012
9,32500,1960
9,33700,1961
9,35000,1962
9,36400,1963
9,37600,1964
9,39200,1965
9,40500,1966
9,41900,1967
9,43400,1968
9,44900,1969
9,46400,1970
9,47200,1971
9,48300,1972
9,49000,1973
9,49500,1974
9,49600,1975
9,49700,1976
9,49400,1977
9,49200,1978
9,49600,1979
9,50200,1980
9,51000,1981
9,51500,1982
9,52100,1983
9,52700,1984
9,53200,1985
9,53500,1986
9,54100,1987
9,54800,1988
9,55300,1989
9,55600,1990
9,55500,1991
9,55300,1992
9,55200,1993
9,55500,1994
9,55800,1995
9,55900,1996
9,56000,1997
9,56100,1998
9,56100,1999
9,56200,2000
9,56350,2001
9,56609,2002
9,56765,2003
9,56911,2004
9,56935,2005
9,56774,2006
9,56555,2007
9,56328,2008
9,56323,2009
9,56905,2010
9,56905,2011
9,56840,2012
