"rgn_id","product","year","tonnes_rel"
2,"fish_oil",1997,0.425619660282348
2,"fish_oil",1998,0.447518266828571
2,"fish_oil",1999,0.446414341876514
2,"fish_oil",2000,0.445600845001457
2,"fish_oil",2001,0.432212715594037
2,"fish_oil",2002,0.429590676165811
2,"fish_oil",2003,0.430027434846219
2,"fish_oil",2004,0.436958108328403
2,"fish_oil",2005,0.444221196303272
2,"fish_oil",2006,0.434202202304601
2,"fish_oil",2007,0.460846393868931
2,"fish_oil",2008,0.534139171957113
2,"fish_oil",2009,0.554693922464616
2,"fish_oil",2010,0.588028054886202
2,"fish_oil",2011,0.61712127985797
2,"ornamentals",1976,0.225628471683445
2,"ornamentals",1977,0.241514176660316
2,"ornamentals",1978,0.249726683345539
2,"ornamentals",1979,0.255059316529467
2,"ornamentals",1980,0.297586894072803
2,"ornamentals",1981,0.270674950998991
2,"ornamentals",1982,0.252408520597269
2,"ornamentals",1983,0.227394240884381
2,"ornamentals",1984,0.246787579748186
2,"ornamentals",1985,0.24648483266435
2,"ornamentals",1986,0.242067275598694
2,"ornamentals",1987,0.300387445570928
2,"ornamentals",1988,0.319437378914803
2,"ornamentals",1989,0.321489903562742
2,"ornamentals",1990,0.343247127980041
2,"ornamentals",1991,0.372863031716197
2,"ornamentals",1992,0.405582559709347
2,"ornamentals",1993,0.459067145872995
2,"ornamentals",1994,0.510400360230285
2,"ornamentals",1995,0.49193043760497
2,"ornamentals",1996,0.512692243713791
2,"ornamentals",1997,0.54275442330509
2,"ornamentals",1998,0.555581170084243
2,"ornamentals",1999,0.538871478587647
2,"ornamentals",2000,0.538358282082621
2,"ornamentals",2001,0.508461829125879
2,"ornamentals",2002,0.50791705184074
2,"ornamentals",2003,0.538135797629481
2,"ornamentals",2004,0.565154016350341
2,"ornamentals",2005,0.592227354213766
2,"ornamentals",2006,0.606394669803889
2,"ornamentals",2007,0.585649464312442
2,"ornamentals",2008,0.589714385074474
2,"ornamentals",2009,0.569795380864376
2,"ornamentals",2010,0.561847232866483
2,"ornamentals",2011,0.518463262545565
2,"seaweeds",1976,0.244380973930051
2,"seaweeds",1977,0.251147948026511
2,"seaweeds",1978,0.248175748318678
2,"seaweeds",1979,0.251220455792955
2,"seaweeds",1980,0.258727888195981
2,"seaweeds",1981,0.318955696975806
2,"seaweeds",1982,0.28716849376693
2,"seaweeds",1983,0.284452851211613
2,"seaweeds",1984,0.256924243719014
2,"seaweeds",1985,0.254755857519928
2,"seaweeds",1986,0.245259586537788
2,"seaweeds",1987,0.278481696862589
2,"seaweeds",1988,0.365657920797517
2,"seaweeds",1989,0.448065938661041
2,"seaweeds",1990,0.478691739505587
2,"seaweeds",1991,0.558870127043096
2,"seaweeds",1992,0.518616485267666
2,"seaweeds",1993,0.489154168479851
2,"seaweeds",1994,0.505993317270501
2,"seaweeds",1995,0.50688555571913
2,"seaweeds",1996,0.49077600055979
2,"seaweeds",1997,0.515119376939153
2,"seaweeds",1998,0.52881544089139
2,"seaweeds",1999,0.527417597782757
2,"seaweeds",2000,0.544923759813077
2,"seaweeds",2001,0.549140293622199
2,"seaweeds",2002,0.559071556057725
2,"seaweeds",2003,0.55863338765147
2,"seaweeds",2004,0.607102176157619
2,"seaweeds",2005,0.610190206629039
2,"seaweeds",2006,0.611147968399479
2,"seaweeds",2007,0.627315368522617
2,"seaweeds",2008,0.622749486139998
2,"seaweeds",2009,0.63059783117658
2,"seaweeds",2010,0.652691224524642
2,"seaweeds",2011,0.649931080113472
2,"shells",1976,0.504735187279516
2,"shells",1977,0.537992677039661
2,"shells",1978,0.553661350460482
2,"shells",1979,0.609397001066165
2,"shells",1980,0.627850064458105
2,"shells",1981,0.67163195325514
2,"shells",1982,0.684306569436008
2,"shells",1983,0.633254630480252
2,"shells",1984,0.610815842322334
2,"shells",1985,0.602753781744315
2,"shells",1986,0.659521904169165
2,"shells",1987,0.675798731132005
2,"shells",1988,0.681566933736361
2,"shells",1989,0.707442626517038
2,"shells",1990,0.676167328958072
2,"shells",1991,0.622560650968381
2,"shells",1992,0.505690380565517
2,"shells",1993,0.444728166416084
2,"shells",1994,0.458269935591183
2,"shells",1995,0.412781058987816
2,"shells",1996,0.461118673814671
2,"shells",1997,0.501240783262138
2,"shells",1998,0.482772419617078
2,"shells",1999,0.511880716083626
2,"shells",2000,0.469822876271121
2,"shells",2001,0.449423724639341
2,"shells",2002,0.455230895433204
2,"shells",2003,0.475041064450487
2,"shells",2004,0.521952598899101
2,"shells",2005,0.534315476745076
2,"shells",2006,0.555183583434541
2,"shells",2007,0.57375983324951
2,"shells",2008,0.523935580802898
2,"shells",2009,0.539288914787254
2,"shells",2010,0.56221150529277
2,"shells",2011,0.531814670809856
2,"sponges",1976,0.268512428170582
2,"sponges",1977,0.237802798041826
2,"sponges",1978,0.215471015239035
2,"sponges",1979,0.223052811886479
2,"sponges",1980,0.23482141246791
2,"sponges",1981,0.216842689099176
2,"sponges",1982,0.204209402353326
2,"sponges",1983,0.184508546366278
2,"sponges",1984,0.172522085173605
2,"sponges",1985,0.174963237912171
2,"sponges",1986,0.190025479433166
2,"sponges",1987,0.200490510099553
2,"sponges",1988,0.238044081920996
2,"sponges",1989,0.24283099971393
2,"sponges",1990,0.25393720199915
2,"sponges",1991,0.331903577129713
2,"sponges",1992,0.330672648425001
2,"sponges",1993,0.387381597213376
2,"sponges",1994,0.525667823329307
2,"sponges",1995,0.485781133724828
2,"sponges",1996,0.465706189859795
2,"sponges",1997,0.487160387783677
2,"sponges",1998,0.456652262921579
2,"sponges",1999,0.481944414131296
2,"sponges",2000,0.486662601688395
2,"sponges",2001,0.479542047319662
2,"sponges",2002,0.491604142163897
2,"sponges",2003,0.523448298221175
2,"sponges",2004,0.513267772939977
2,"sponges",2005,0.483837095237871
2,"sponges",2006,0.480340260958809
2,"sponges",2007,0.434032647768804
2,"sponges",2008,0.402980813242608
2,"sponges",2009,0.358040117251808
2,"sponges",2010,0.329708300293961
2,"sponges",2011,0.284903969004038
3,"corals",1976,0.476955890576678
3,"corals",1977,0.445435546438048
3,"corals",1978,0.580233420373928
3,"corals",1979,0.60201746197029
3,"corals",1980,0.641127479130399
3,"corals",1981,0.692451182967206
3,"corals",1982,0.61737157646975
3,"corals",1983,0.468670762514866
3,"corals",1984,0.445063699539059
3,"corals",1985,0.426199814023707
3,"corals",1986,0.415842313199989
3,"corals",1987,0.405833908254429
3,"corals",1988,0.399549792165362
3,"corals",1989,0.373593217018146
3,"corals",1990,0.402513066740932
3,"corals",1991,0.410517594978244
3,"corals",1992,0.413032841942859
3,"corals",1993,0.391057015046459
3,"corals",1994,0.401555355496444
3,"corals",1995,0.424774973868209
3,"corals",1996,0.48394346793928
3,"corals",1997,0.518359887882894
3,"corals",1998,0.593129353443469
3,"corals",1999,0.566033946925994
3,"corals",2000,0.515877170623764
3,"corals",2001,0.558605432553349
3,"corals",2002,0.538308006759426
3,"corals",2003,0.551681342348373
3,"corals",2004,0.542929641963285
3,"corals",2005,0.541240360714119
3,"corals",2006,0.515993817388114
3,"corals",2007,0.556259300961363
3,"corals",2008,0.523834368207413
3,"corals",2009,0.465030595034891
3,"corals",2010,0.43011817890876
3,"corals",2011,0.344256205007407
3,"fish_oil",1976,0.477383918954238
3,"fish_oil",1977,0.467763045207759
3,"fish_oil",1978,0.498410178264447
3,"fish_oil",1979,0.496748984394106
3,"fish_oil",1980,0.493024088612835
3,"fish_oil",1981,0.520631110524641
3,"fish_oil",1982,0.478932906537965
3,"fish_oil",1983,0.450877544927254
3,"fish_oil",1984,0.418481670850857
3,"fish_oil",1985,0.42701589463516
3,"fish_oil",1986,0.450405832301401
3,"fish_oil",1987,0.444003602495257
3,"fish_oil",1988,0.438549072886731
3,"fish_oil",1989,0.445872103562034
3,"fish_oil",1990,0.446704437317248
3,"fish_oil",1991,0.436518772819279
3,"fish_oil",1992,0.447348961518911
3,"fish_oil",1993,0.452908503229056
3,"fish_oil",1994,0.438495285894025
3,"fish_oil",1995,0.416477896804256
3,"fish_oil",1996,0.396157903295017
3,"fish_oil",1997,0.425619660282348
3,"fish_oil",1998,0.447518266828571
3,"fish_oil",1999,0.446414341876514
3,"fish_oil",2000,0.445600845001457
3,"fish_oil",2001,0.432212715594037
3,"fish_oil",2002,0.429590676165811
3,"fish_oil",2003,0.430027434846219
3,"fish_oil",2004,0.436958108328403
3,"fish_oil",2005,0.444221196303272
3,"fish_oil",2006,0.434202202304601
3,"fish_oil",2007,0.460846393868931
3,"fish_oil",2008,0.534139171957113
3,"fish_oil",2009,0.554693922464616
3,"fish_oil",2010,0.588028054886202
3,"fish_oil",2011,0.61712127985797
3,"ornamentals",1976,0.225628471683445
3,"ornamentals",1977,0.241514176660316
3,"ornamentals",1978,0.249726683345539
3,"ornamentals",1979,0.255059316529467
3,"ornamentals",1980,0.297586894072803
3,"ornamentals",1981,0.270674950998991
3,"ornamentals",1982,0.252408520597269
3,"ornamentals",1983,0.227394240884381
3,"ornamentals",1984,0.246787579748186
3,"ornamentals",1985,0.24648483266435
3,"ornamentals",1986,0.242067275598694
3,"ornamentals",1987,0.300387445570928
3,"ornamentals",1988,0.319437378914803
3,"ornamentals",1989,0.321489903562742
3,"ornamentals",1990,0.343247127980041
3,"ornamentals",1991,0.372863031716197
3,"ornamentals",1992,0.405582559709347
3,"ornamentals",1993,0.459067145872995
3,"ornamentals",1994,0.510400360230285
3,"ornamentals",1995,0.49193043760497
3,"ornamentals",1996,0.512692243713791
3,"ornamentals",1997,0.54275442330509
3,"ornamentals",1998,0.555581170084243
3,"ornamentals",1999,0.538871478587647
3,"ornamentals",2000,0.538358282082621
3,"ornamentals",2001,0.508461829125879
3,"ornamentals",2002,0.50791705184074
3,"ornamentals",2003,0.538135797629481
3,"ornamentals",2004,0.565154016350341
3,"ornamentals",2005,0.592227354213766
3,"ornamentals",2006,0.606394669803889
3,"ornamentals",2007,0.585649464312442
3,"ornamentals",2008,0.589714385074474
3,"ornamentals",2009,0.569795380864376
3,"ornamentals",2010,0.561847232866483
3,"ornamentals",2011,0.518463262545565
3,"seaweeds",1976,0.244380973930051
3,"seaweeds",1977,0.251147948026511
3,"seaweeds",1978,0.248175748318678
3,"seaweeds",1979,0.251220455792955
3,"seaweeds",1980,0.258727888195981
3,"seaweeds",1981,0.318955696975806
3,"seaweeds",1982,0.28716849376693
3,"seaweeds",1983,0.284452851211613
3,"seaweeds",1984,0.256924243719014
3,"seaweeds",1985,0.254755857519928
3,"seaweeds",1986,0.245259586537788
3,"seaweeds",1987,0.278481696862589
3,"seaweeds",1988,0.365657920797517
3,"seaweeds",1989,0.448065938661041
3,"seaweeds",1990,0.478691739505587
3,"seaweeds",1991,0.558870127043096
3,"seaweeds",1992,0.518616485267666
3,"seaweeds",1993,0.489154168479851
3,"seaweeds",1994,0.505993317270501
3,"seaweeds",1995,0.50688555571913
3,"seaweeds",1996,0.49077600055979
3,"seaweeds",1997,0.515119376939153
3,"seaweeds",1998,0.52881544089139
3,"seaweeds",1999,0.527417597782757
3,"seaweeds",2000,0.544923759813077
3,"seaweeds",2001,0.549140293622199
3,"seaweeds",2002,0.559071556057725
3,"seaweeds",2003,0.55863338765147
3,"seaweeds",2004,0.607102176157619
3,"seaweeds",2005,0.610190206629039
3,"seaweeds",2006,0.611147968399479
3,"seaweeds",2007,0.627315368522617
3,"seaweeds",2008,0.622749486139998
3,"seaweeds",2009,0.63059783117658
3,"seaweeds",2010,0.652691224524642
3,"seaweeds",2011,0.649931080113472
3,"shells",1976,0.504735187279516
3,"shells",1977,0.537992677039661
3,"shells",1978,0.553661350460482
3,"shells",1979,0.609397001066165
3,"shells",1980,0.627850064458105
3,"shells",1981,0.67163195325514
3,"shells",1982,0.684306569436008
3,"shells",1983,0.633254630480252
3,"shells",1984,0.610815842322334
3,"shells",1985,0.602753781744315
3,"shells",1986,0.659521904169165
3,"shells",1987,0.675798731132005
3,"shells",1988,0.681566933736361
3,"shells",1989,0.707442626517038
3,"shells",1990,0.676167328958072
3,"shells",1991,0.622560650968381
3,"shells",1992,0.505690380565517
3,"shells",1993,0.444728166416084
3,"shells",1994,0.458269935591183
3,"shells",1995,0.412781058987816
3,"shells",1996,0.461118673814671
3,"shells",1997,0.501240783262138
3,"shells",1998,0.482772419617078
3,"shells",1999,0.511880716083626
3,"shells",2000,0.469822876271121
3,"shells",2001,0.449423724639341
3,"shells",2002,0.455230895433204
3,"shells",2003,0.475041064450487
3,"shells",2004,0.521952598899101
3,"shells",2005,0.534315476745076
3,"shells",2006,0.555183583434541
3,"shells",2007,0.57375983324951
3,"shells",2008,0.523935580802898
3,"shells",2009,0.539288914787254
3,"shells",2010,0.56221150529277
3,"shells",2011,0.531814670809856
3,"sponges",1976,0.268512428170582
3,"sponges",1977,0.237802798041826
3,"sponges",1978,0.215471015239035
3,"sponges",1979,0.223052811886479
3,"sponges",1980,0.23482141246791
3,"sponges",1981,0.216842689099176
3,"sponges",1982,0.204209402353326
3,"sponges",1983,0.184508546366278
3,"sponges",1984,0.172522085173605
3,"sponges",1985,0.174963237912171
3,"sponges",1986,0.190025479433166
3,"sponges",1987,0.200490510099553
3,"sponges",1988,0.238044081920996
3,"sponges",1989,0.24283099971393
3,"sponges",1990,0.25393720199915
3,"sponges",1991,0.331903577129713
3,"sponges",1992,0.330672648425001
3,"sponges",1993,0.387381597213376
3,"sponges",1994,0.525667823329307
3,"sponges",1995,0.485781133724828
3,"sponges",1996,0.465706189859795
3,"sponges",1997,0.487160387783677
3,"sponges",1998,0.456652262921579
3,"sponges",1999,0.481944414131296
