rgn_id,loiczid,proportionArea,csquarecode,cellarea
2,11747.0,0.07,7806:216:4,443.54
2,11748.0,0.08,7806:216:3,443.54
2,11749.0,0.12,7806:215:4,443.54
2,11750.0,0.2,7806:215:3,443.54
2,11751.0,0.18,7806:114:4,443.54
2,11752.0,0.14,7806:114:3,443.54
2,11753.0,0.12,7806:113:4,443.54
2,11754.0,0.08,7806:113:3,443.54
2,11755.0,0.06,7806:112:4,443.54
2,11756.0,0.05,7806:112:3,443.54
2,12410.0,0.04,7809:215:1,470.22
2,12411.0,0.09,7809:114:2,470.22
2,12412.0,0.43,7809:114:1,470.22
2,12413.0,0.31,7809:113:2,470.22
2,12414.0,0.28,7809:113:1,470.22
2,12415.0,0.05,7809:112:2,470.22
2,12416.0,0.09,7809:112:1,470.22
2,12417.0,0.29,7809:111:2,470.22
2,12418.0,0.03,7809:111:1,470.22
2,12419.0,0.14,7809:110:2,470.22
2,12420.0,0.3,7809:110:1,470.22
2,12421.0,0.22,7808:219:2,470.22
2,12422.0,0.24,7808:219:1,470.22
2,12423.0,0.12,7808:218:2,470.22
2,12424.0,0.05,7808:218:1,470.22
2,12425.0,0.04,7808:217:2,470.22
2,12426.0,0.05,7808:217:1,470.22
2,12427.0,0.14,7808:216:2,470.22
2,12428.0,0.16,7808:216:1,470.22
2,12429.0,0.23,7808:215:2,470.22
2,12430.0,0.22,7808:215:1,470.22
2,12431.0,0.17,7808:114:2,470.22
2,12432.0,0.1,7808:114:1,470.22
2,12433.0,0.07,7808:113:2,470.22
2,12434.0,0.09,7808:113:1,470.22
2,12435.0,0.04,7808:112:2,470.22
2,12436.0,0.02,7808:112:1,470.22
2,12442.0,0.13,7807:219:1,470.22
2,12443.0,0.19,7807:218:2,470.22
2,12444.0,0.23,7807:218:1,470.22
2,12445.0,0.12,7807:217:2,470.22
2,12446.0,0.1,7807:217:1,470.22
2,12447.0,0.03,7807:216:2,470.22
2,12460.0,0.02,7807:110:1,470.22
2,12461.0,0.1,7806:219:2,470.22
2,12462.0,0.09,7806:219:1,470.22
2,12463.0,0.09,7806:218:2,470.22
2,12464.0,0.12,7806:218:1,470.22
2,12465.0,0.12,7806:217:2,470.22
2,12466.0,0.15,7806:217:1,470.22
2,12467.0,0.16,7806:216:2,470.22
2,12468.0,0.18,7806:216:1,470.22
2,12469.0,0.12,7806:215:2,470.22
2,12470.0,0.07,7806:215:1,470.22
2,12471.0,0.1,7806:114:2,470.22
2,12472.0,0.08,7806:114:1,470.22
2,13128.0,0.13,7809:206:3,496.86
2,13129.0,0.23,7809:205:4,496.86
2,13130.0,0.34,7809:205:3,496.86
2,13131.0,0.27,7809:104:4,496.86
2,13132.0,0.17,7809:104:3,496.86
2,13133.0,0.06,7809:103:4,496.86
2,13137.0,0.01,7809:101:4,496.86
2,13138.0,0.17,7809:101:3,496.86
2,13139.0,0.18,7809:100:4,496.86
2,13140.0,0.08,7809:100:3,496.86
2,13141.0,0.06,7808:209:4,496.86
2,13142.0,0.19,7808:209:3,496.86
2,13143.0,0.14,7808:208:4,496.86
2,13144.0,0.1,7808:208:3,496.86
2,13145.0,0.08,7808:207:4,496.86
2,13146.0,0.06,7808:207:3,496.86
2,13147.0,0.29,7808:206:4,496.86
2,13148.0,0.3,7808:206:3,496.86
2,13149.0,0.26,7808:205:4,496.86
2,13150.0,0.01,7808:205:3,496.86
2,13151.0,0.01,7808:104:4,496.86
2,13152.0,0.03,7808:104:3,496.86
2,13153.0,0.22,7808:103:4,496.86
2,13154.0,0.29,7808:103:3,496.86
2,13155.0,0.18,7808:102:4,496.86
2,13156.0,0.18,7808:102:3,496.86
2,13157.0,0.13,7808:101:4,496.86
2,13158.0,0.06,7808:101:3,496.86
2,13159.0,0.08,7808:100:4,496.86
2,13160.0,0.14,7808:100:3,496.86
2,13161.0,0.2,7807:209:4,496.86
2,13162.0,0.35,7807:209:3,496.86
2,13163.0,0.25,7807:208:4,496.86
2,13164.0,0.24,7807:208:3,496.86
2,13165.0,0.07,7807:207:4,496.86
2,13166.0,0.09,7807:207:3,496.86
2,13167.0,0.1,7807:206:4,496.86
2,13168.0,0.01,7807:206:3,496.86
2,13179.0,0.02,7807:100:4,496.86
2,13182.0,0.03,7806:209:3,496.86
2,13183.0,0.11,7806:208:4,496.86
2,13184.0,0.09,7806:208:3,496.86
2,13185.0,0.12,7806:207:4,496.86
2,13186.0,0.12,7806:207:3,496.86
2,13187.0,0.06,7806:206:4,496.86
2,13188.0,0.03,7806:206:3,496.86
2,13840.0,0.07,7810:100:1,523.47
2,13841.0,0.09,7809:209:2,523.47
2,13842.0,0.12,7809:209:1,523.47
2,13843.0,0.1,7809:208:2,523.47
2,13847.0,0.25,7809:206:2,523.47
2,13848.0,0.22,7809:206:1,523.47
2,13849.0,0.29,7809:205:2,523.47
2,13850.0,0.11,7809:205:1,523.47
2,13851.0,0.18,7809:104:2,523.47
2,13852.0,0.09,7809:104:1,523.47
2,13861.0,0.02,7808:209:2,523.47
2,13862.0,0.12,7808:209:1,523.47
2,13863.0,0.46,7808:208:2,523.47
2,13864.0,0.12,7808:208:1,523.47
2,13865.0,0.27,7808:207:2,523.47
2,13866.0,0.17,7808:207:1,523.47
2,13867.0,0.22,7808:206:2,523.47
2,13868.0,0.07,7808:206:1,523.47
2,13869.0,0.07,7808:205:2,523.47
2,13870.0,0.08,7808:205:1,523.47
2,13871.0,0.1,7808:104:2,523.47
2,13872.0,0.1,7808:104:1,523.47
2,13873.0,0.08,7808:103:2,523.47
2,13874.0,0.19,7808:103:1,523.47
2,13875.0,0.25,7808:102:2,523.47
2,13876.0,0.09,7808:102:1,523.47
2,13877.0,0.08,7808:101:2,523.47
2,13878.0,0.05,7808:101:1,523.47
2,13879.0,0.09,7808:100:2,523.47
2,13880.0,0.04,7808:100:1,523.47
2,13896.0,0.1,7807:102:1,523.47
2,13897.0,0.14,7807:101:2,523.47
2,13898.0,0.08,7807:101:1,523.47
2,13899.0,0.18,7807:100:2,523.47
2,13900.0,0.38,7807:100:1,523.47
2,13901.0,0.17,7806:209:2,523.47
2,13902.0,0.12,7806:209:1,523.47
2,14560.0,0.11,7710:390:3,550.03
2,14561.0,0.1,7709:499:4,550.03
2,14562.0,0.14,7709:499:3,550.03
2,14563.0,0.24,7709:498:4,550.03
2,14565.0,0.1,7709:497:4,550.03
2,14566.0,0.09,7709:497:3,550.03
2,14567.0,0.23,7709:496:4,550.03
2,14568.0,0.21,7709:496:3,550.03
2,14569.0,0.17,7709:495:4,550.03
2,14570.0,0.17,7709:495:3,550.03
2,14571.0,0.12,7709:394:4,550.03
2,14572.0,0.06,7709:394:3,550.03
2,14586.0,0.25,7708:497:3,550.03
2,14587.0,0.37,7708:496:4,550.03
2,14588.0,0.36,7708:496:3,550.03
2,14589.0,0.21,7708:495:4,550.03
2,14590.0,0.23,7708:495:3,550.03
2,14591.0,0.01,7708:394:4,550.03
2,14595.0,0.03,7708:392:4,550.03
2,14596.0,0.14,7708:392:3,550.03
2,14597.0,0.38,7708:391:4,550.03
2,14598.0,0.11,7708:391:3,550.03
2,14599.0,0.13,7708:390:4,550.03
2,14600.0,0.1,7708:390:3,550.03
2,14601.0,0.03,7707:499:4,550.03
2,14606.0,0.03,7707:497:3,550.03
2,14611.0,0.04,7707:394:4,550.03
2,14612.0,0.1,7707:394:3,550.03
2,14613.0,0.16,7707:393:4,550.03
2,14614.0,0.3,7707:393:3,550.03
2,14615.0,0.11,7707:392:4,550.03
2,14616.0,0.08,7707:392:3,550.03
2,14617.0,0.05,7707:391:4,550.03
2,14618.0,0.15,7707:391:3,550.03
2,14619.0,0.18,7707:390:4,550.03
2,15269.0,0.21,7710:495:2,576.55
2,15270.0,0.12,7710:495:1,576.55
2,15271.0,0.15,7710:394:2,576.55
2,15272.0,0.15,7710:394:1,576.55
2,15273.0,0.11,7710:393:2,576.55
2,15274.0,0.09,7710:393:1,576.55
2,15275.0,0.21,7710:392:2,576.55
2,15276.0,0.09,7710:392:1,576.55
2,15277.0,0.04,7710:391:2,576.55
2,15278.0,0.1,7710:391:1,576.55
2,15285.0,0.07,7709:497:2,576.55
2,15286.0,0.01,7709:497:1,576.55
2,15289.0,0.15,7709:495:2,576.55
2,15290.0,0.16,7709:495:1,576.55
2,15291.0,0.22,7709:394:2,576.55
2,15292.0,0.35,7709:394:1,576.55
2,15293.0,0.17,7709:393:2,576.55
2,15294.0,0.31,7709:393:1,576.55
2,15295.0,0.36,7709:392:2,576.55
2,15296.0,0.25,7709:392:1,576.55
2,15297.0,0.16,7709:391:2,576.55
2,15298.0,0.13,7709:391:1,576.55
2,15299.0,0.1,7709:390:2,576.55
2,15300.0,0.01,7709:390:1,576.55
2,15305.0,0.04,7708:497:2,576.55
2,15307.0,0.04,7708:496:2,576.55
2,15308.0,0.15,7708:496:1,576.55
2,15309.0,0.17,7708:495:2,576.55
2,15310.0,0.28,7708:495:1,576.55
2,15311.0,0.29,7708:394:2,576.55
2,15312.0,0.24,7708:394:1,576.55
2,15313.0,0.07,7708:393:2,576.55
2,15317.0,0.03,7708:391:2,576.55
2,15323.0,0.01,7707:498:2,576.55
2,15324.0,0.1,7707:498:1,576.55
2,15325.0,0.17,7707:497:2,576.55
2,15326.0,0.42,7707:497:1,576.55
2,15327.0,0.41,7707:496:2,576.55
2,15328.0,0.65,7707:496:1,576.55
2,15329.0,0.4,7707:495:2,576.55
2,15330.0,0.17,7707:495:1,576.55
2,15331.0,0.3,7707:394:2,576.55
2,15332.0,0.24,7707:394:1,576.55
2,15333.0,0.1,7707:393:2,576.55
2,15334.0,0.04,7707:393:1,576.55
2,15981.0,0.09,7710:489:4,603.03
2,15982.0,0.06,7710:489:3,603.03
2,15990.0,0.09,7710:485:3,603.03
2,15991.0,0.22,7710:384:4,603.03
2,15992.0,0.33,7710:384:3,603.03
2,15993.0,0.38,7710:383:4,603.03
2,15994.0,0.06,7710:383:3,603.03
2,15995.0,0.06,7710:382:4,603.03
2,15996.0,0.04,7710:382:3,603.03
2,15998.0,0.1,7710:381:3,603.03
2,15999.0,0.16,7710:380:4,603.03
2,16e3,0.09,7710:380:3,603.03
2,16001.0,0.15,7709:489:4,603.03
2,16002.0,0.04,7709:489:3,603.03
2,16003.0,0.02,7709:488:4,603.03
2,16004.0,0.27,7709:488:3,603.03
2,16005.0,0.1,7709:487:4,603.03
2,16006.0,0.07,7709:487:3,603.03
2,16007.0,0.03,7709:486:4,603.03
2,16008.0,0.15,7709:486:3,603.03
2,16009.0,0.1,7709:485:4,603.03
2,16010.0,0.02,7709:485:3,603.03
2,16012.0,0.11,7709:384:3,603.03
2,16013.0,0.22,7709:383:4,603.03
2,16014.0,0.21,7709:383:3,603.03
2,16015.0,0.16,7709:382:4,603.03
2,16016.0,0.15,7709:382:3,603.03
2,16017.0,0.02,7709:381:4,603.03
2,16020.0,0.03,7709:380:3,603.03
2,16021.0,0.04,7708:489:4,603.03
2,16023.0,0.1,7708:488:4,603.03
2,16024.0,0.28,7708:488:3,603.03
2,16025.0,0.25,7708:487:4,603.03
2,16026.0,0.24,7708:487:3,603.03
2,16027.0,0.26,7708:486:4,603.03
2,16028.0,0.23,7708:486:3,603.03
2,16029.0,0.11,7708:485:4,603.03
2,16030.0,0.13,7708:485:3,603.03
2,16031.0,0.22,7708:384:4,603.03
2,16032.0,0.16,7708:384:3,603.03
2,16033.0,0.11,7708:383:4,603.03
2,16034.0,0.27,7708:383:3,603.03
2,16035.0,0.31,7708:382:4,603.03
2,16036.0,0.22,7708:382:3,603.03
2,16037.0,0.15,7708:381:4,603.03
2,16044.0,0.06,7707:488:3,603.03
2,16045.0,0.07,7707:487:4,603.03
2,16047.0,0.02,7707:486:4,603.03
2,16048.0,0.13,7707:486:3,603.03
