am_sid,rgn_id,rgn_name,sciname
Fis-24399,2,Nunavut,Acantholumpenus mackayi
Fis-24553,2,Nunavut,Enophrys diceraus
Fis-24767,2,Nunavut,Megalocottus platycephalus
Fis-24768,2,Nunavut,Hemilepidotus papilio
Fis-30819,2,Nunavut,Hippoglossoides robustus
Fis-17283,2,Nunavut,Limanda proboscidea
Fis-24899,2,Nunavut,Platichthys stellatus
Fis-147788,2,Nunavut,Podothecus accipenserinus
Fis-30263,2,Nunavut,Lycodes palearis
Fis-24311,2,Nunavut,Bathyraja parmifera
Fis-22921,2,Nunavut,Oncorhynchus tshawytscha
Fis-30267,2,Nunavut,Lycodes sagittarius
Fis-22917,2,Nunavut,Oncorhynchus kisutch
Fis-29418,2,Nunavut,Hippoglossus stenolepis
Fis-131802,2,Nunavut,Rajella fyllae
Fis-34857,2,Nunavut,Bathylagus euryops
Fis-47447,2,Nunavut,Lycodes squamiventer
Fis-47451,2,Nunavut,Lycenchelys kolthoffi
Fis-47519,2,Nunavut,Liparis fabricii
Fis-48011,2,Nunavut,Careproctus reinhardti
Fis-47561,2,Nunavut,Paraliparis bathybius
Fis-47966,2,Nunavut,Lycodes vahlii
Fis-57417,2,Nunavut,Lycodes seminudus
Fis-62488,2,Nunavut,Lycodes mucosus
Fis-131855,2,Nunavut,Amblyraja jenseni
Fis-143668,2,Nunavut,Lycodes paamiuti
Fis-27011,2,Nunavut,Gaidropsarus ensis
Fis-27313,2,Nunavut,Scopelosaurus lepidus
Fis-33245,2,Nunavut,Cottunculus microps
Fis-131852,2,Nunavut,Amblyraja hyperborea
Fis-47660,2,Nunavut,Gymnelus retrodorsalis
Fis-52203,2,Nunavut,Osmerus dentex
Fis-125602,2,Nunavut,Eumicrotremus andriashevi
Fis-35470,2,Nunavut,Myoxocephalus stelleri
Fis-116315,2,Nunavut,Gymnelus hemifasciatus
Fis-117079,2,Nunavut,Lycodes raridens
Fis-125615,2,Nunavut,Liparis bristolensis
Fis-160414,2,Nunavut,Sebastes variabilis
Fis-47448,2,Nunavut,Lycodes frigidus
Fis-27275,2,Nunavut,Diretmoides pauciradiatus
Fis-50491,2,Nunavut,Oneirodes eschrichtii
Fis-50544,2,Nunavut,Oneirodes macrosteus
Fis-31271,2,Nunavut,Sagamichthys abei
W-Msc-138969,2,Nunavut,Admete viridula
W-Msc-156716,2,Nunavut,Flabellina salmonacea
W-Msc-140187,2,Nunavut,Lepeta caeca
W-Msc-141840,2,Nunavut,Solariella obscura
W-Msc-139474,2,Nunavut,Cylichna alba
W-Msc-139523,2,Nunavut,Dendronotus frondosus
W-Iso-146502,2,Nunavut,Arcturus baffini
W-Iso-118497,2,Nunavut,Calathura brachiata
