rgn_id,stock_id_taxonkey,year,mean_catch
4,Marine_fishes_not_identified-21_100039,2001,48.53532398
4,Miscellaneous_aquatic_invertebrates-21_100077,2001,0.313252861
4,Marine_finfishes_not_identified-21_100139,2001,0.657072343
4,Marine_groundfishes_not_identified-21_100239,2001,0.839399735
4,Mollusca-21_190195,2001,9.946552972
4,Elasmobranchii-21_200004,2001,0.593302461
4,Chondrichtyes-21_200538,2001,0.700796338
4,Bivalvia-21_290004,2001,2.13399923
4,Scyphozoa-21_290013,2001,0.005918916
4,Malacostraca-21_290022,2001,0.222152324
4,Scorpaeniformes-21_300059,2001,1.183762742
4,Perciformes-21_300060,2001,0.021096339
4,Pleuronectiformes-21_300061,2001,0.979207462
4,Rajidae-21_400019,2001,1.764258032
4,Salmonidae-21_400076,2001,0.038810538
4,Gadidae-21_400183,2001,0.001705853
4,Cottidae-21_400277,2001,1.236775281
4,Pleuronectidae-21_400440,2001,0.650549944
4,Mactridae-21_490063,2001,25.32272406
4,Brachyura-21_490097,2001,0.00048905
4,Gaidropsarus-21_500686,2001,9.94E-05
4,Myoxocephalus-21_500717,2001,0.04357296
4,Sebastes-21_501135,2001,22.66857687
4,Salvelinus-21_501410,2001,5.913479184
4,Lycodes-21_501486,2001,0.617192859
4,Anarhichas-21_505897,2001,4.401190326
4,Chionoecetes-21_590065,2001,0.030206887
4,Busycon-21_590110,2001,0.795356612
4,Strongylocentrotus-21_590158,2001,0.438006738
4,Salmo_salar-21_600236,2001,0.238266516
4,Salvelinus_alpinus_alpinus-21_600247,2001,0.939461096
4,Mallotus_villosus-21_600252,2001,1.495464993
4,Gadus_ogac-21_600309,2001,0.422228975
4,Macrourus_berglax-21_600331,2001,5.309311871
4,Reinhardtius_hippoglossoides-21_600516,2001,19.30198364
4,Molva_dypterygia-21_601383,2001,3.31E-05
4,Anarhichas_lupus-21_602501,2001,0.036745354
4,Anarhichas_denticulatus-21_603810,2001,0.015991218
4,Chionoecetes_opilio-21_690313,2001,16.38172457
4,Strongylocentrotus_droebachiensis-21_690494,2001,0.162613724
4,Marine_fishes_not_identified-27_100039,2001,94183.17487
4,Miscellaneous_marine_crustaceans-27_100047,2001,26.68585293
4,Miscellaneous_aquatic_invertebrates-27_100077,2001,8.002837279
4,Marine_finfishes_not_identified-27_100139,2001,4067.372667
4,Marine_groundfishes_not_identified-27_100239,2001,0.294856436
4,Marine_pelagic_fishes_not_identified-27_100339,2001,0.115879027
4,Elasmobranchii-27_200004,2001,19.10266759
4,Chondrichtyes-27_200538,2001,0.096601063
4,Bivalvia-27_290004,2001,13.81933386
4,Echinoidea-27_290011,2001,0.354771622
4,Malacostraca-27_290022,2001,0.145074572
4,Squaliformes-27_300009,2001,0.031937931
4,Rajiformes-27_300014,2001,0.000184354
4,Gadiformes-27_300044,2001,103.4516815
4,Scorpaeniformes-27_300059,2001,33.12623084
4,Perciformes-27_300060,2001,17.00265238
4,Pleuronectiformes-27_300061,2001,65.00385368
4,Squalidae-27_400013,2001,1.020156788
4,Acipenseridae-27_400032,2001,0.006753299
4,Clupeidae-27_400043,2001,0.019758691
4,Salmonidae-27_400076,2001,6.036396581
4,Gadidae-27_400183,2001,0.050484303
4,Macrouridae-27_400185,2001,1.989931158
4,Lophiidae-27_400190,2001,0.204521675
4,Triglidae-27_400266,2001,0.771407375
4,Cottidae-27_400277,2001,0.122325917
4,Anarhichadidae-27_400396,2001,1.629356279
4,Pleuronectidae-27_400440,2001,0.223344709
4,Crangonidae-27_490044,2001,43.37250683
4,Mytilidae-27_490054,2001,10.48139225
4,Raja-27_500108,2001,18.15106781
4,Salmo-27_500136,2001,3.023088526
4,Sebastes-27_501135,2001,2602.447597
4,Anarhichas-27_505897,2001,49.27978183
4,Coregonus-27_506253,2001,9.621787908
4,Pandalus-27_590093,2001,3.706237422
4,Clupea_harengus-27_600024,2001,15312.17924
4,Micromesistius_poutassou-27_600031,2001,3932.09232
4,Molva_molva-27_600033,2001,276.5511431
4,Pollachius_pollachius-27_600034,2001,1.043566188
4,Brosme_brosme-27_600051,2001,27.1968681
4,Cyclopterus_lumpus-27_600062,2001,74.2097654
4,Gadus_morhua-27_600069,2001,88728.26716
4,Lamna_nasus-27_600088,2001,0.781097371
