comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat
Bowhead whale,Balaena mysticetus,TRUE,NA,2472,Svalbard-Barents Sea (Spitsbergen) subpopulation,CR
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC
Common guillemot,Uria aalge,TRUE,NA,22694841,NA,LC
Common Eider,Somateria mollissima,TRUE,NA,22680405,NA,NT
Fin whale,Balaenoptera physalus,TRUE,NA,16208224,Mediterranean subpopulation,VU
Fin whale,Balaenoptera physalus,TRUE,NA,2478,NA,EN
Fulmar,Fulmarus glacialis,FALSE,5,22697866,NA,LC
Fulmar,Fulmarus glacialis,FALSE,8,22697866,NA,LC
Fulmar,Fulmarus glacialis,FALSE,9,22697866,NA,LC
Glaucous gull,Larus hyperboreus,FALSE,5,22694343,NA,LC
Glaucous gull,Larus hyperboreus,FALSE,8,22694343,NA,LC
Glaucous gull,Larus hyperboreus,FALSE,9,22694343,NA,LC
Harbour porpoise,Phocoena phocoena,FALSE,4,17027,NA,LC
Harbour porpoise,Phocoena phocoena,FALSE,4,17031,Baltic Sea subpopulation,CR
Harbour Porpoise,Phocoena phocoena,FALSE,2,17027,NA,LC
Harbour Porpoise,Phocoena phocoena,FALSE,2,17031,Baltic Sea subpopulation,CR
Harbour Porpoise,Phocoena phocoena,FALSE,3,17027,NA,LC
Harbour Porpoise,Phocoena phocoena,FALSE,3,17031,Baltic Sea subpopulation,CR
Harbour porpoise,Phocoena phocoena,FALSE,8,17027,NA,LC
Harbour porpoise,Phocoena phocoena,FALSE,8,17031,Baltic Sea subpopulation,CR
Harbour porpoise,Phocoena phocoena,FALSE,9,17027,NA,LC
Harbour porpoise,Phocoena phocoena,FALSE,9,17031,Baltic Sea subpopulation,CR
Harbour seal,Phoca vitulina,FALSE,4,17013,NA,LC
Harbour seal,Phoca vitulina,FALSE,5,17013,NA,LC
Harbour seal,Phoca vitulina,FALSE,2,17013,NA,LC
Harbour seal,Phoca vitulina,FALSE,3,17013,NA,LC
Harbour seal,Phoca vitulina,FALSE,8,17013,NA,LC
Harbour seal,Phoca vitulina,FALSE,9,17013,NA,LC
Hooded Seal,Cystophora cristata,FALSE,2,6204,NA,VU
Hooded Seal,Cystophora cristata,FALSE,3,6204,NA,VU
Hooded seal,Cystophora cristata,FALSE,8,6204,NA,VU
Hooded seal,Cystophora cristata,FALSE,9,6204,NA,VU
Hooded seal,Cystophora cristata,FALSE,5,6204,NA,VU
Humpback Whale,Megaptera novaeangliae,TRUE,NA,132835,Arabian Sea subpopulation,EN
Humpback Whale,Megaptera novaeangliae,TRUE,NA,13006,NA,LC
Humpback Whale,Megaptera novaeangliae,TRUE,NA,132832,Oceania subpopulation,EN
Ivory Gull,Pagophila eburnea,FALSE,2,22694473,NA,NT
Ivory Gull,Pagophila eburnea,FALSE,3,22694473,NA,NT
Ivory gull,Pagophila eburnea,FALSE,8,22694473,NA,NT
Ivory gull,Pagophila eburnea,FALSE,9,22694473,NA,NT
Ivory gull,Pagophila eburnea,FALSE,5,22694473,NA,NT
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD
