rgn_id,rgn_name,loiczid,proportionArea,csquarecode,cellarea
1,Alaska,25968.0,1.0,7715:216:3,968.01
1,Alaska,25969.0,1.0,7715:215:4,968.01
1,Alaska,25970.0,1.0,7715:215:3,968.01
1,Alaska,25971.0,1.0,7715:114:4,968.01
1,Alaska,25972.0,1.0,7715:114:3,968.01
1,Alaska,25973.0,1.0,7715:113:4,968.01
1,Alaska,25974.0,1.0,7715:113:3,968.01
1,Alaska,25975.0,1.0,7715:112:4,968.01
1,Alaska,25976.0,1.0,7715:112:3,968.01
1,Alaska,25977.0,1.0,7715:111:4,968.01
1,Alaska,25978.0,1.0,7715:111:3,968.01
1,Alaska,25979.0,1.0,7715:110:4,968.01
1,Alaska,25980.0,1.0,7715:110:3,968.01
1,Alaska,25981.0,1.0,7714:219:4,968.01
1,Alaska,25982.0,1.0,7714:219:3,968.01
1,Alaska,25983.0,1.0,7714:218:4,968.01
1,Alaska,25984.0,1.0,7714:218:3,968.01
1,Alaska,25985.0,1.0,7714:217:4,968.01
1,Alaska,25986.0,1.0,7714:217:3,968.01
1,Alaska,25987.0,1.0,7714:216:4,968.01
1,Alaska,25988.0,1.0,7714:216:3,968.01
1,Alaska,25989.0,1.0,7714:215:4,968.01
1,Alaska,25990.0,1.0,7714:215:3,968.01
1,Alaska,25991.0,1.0,7714:114:4,968.01
1,Alaska,25992.0,1.0,7714:114:3,968.01
1,Alaska,25993.0,1.0,7714:113:4,968.01
1,Alaska,25994.0,1.0,7714:113:3,968.01
1,Alaska,25995.0,1.0,7714:112:4,968.01
1,Alaska,25996.0,1.0,7714:112:3,968.01
1,Alaska,25997.0,1.0,7714:111:4,968.01
1,Alaska,25998.0,1.0,7714:111:3,968.01
1,Alaska,25999.0,1.0,7714:110:4,968.01
1,Alaska,26e3,1.0,7714:110:3,968.01
1,Alaska,26001.0,1.0,7713:219:4,968.01
1,Alaska,26002.0,0.9,7713:219:3,968.01
1,Alaska,26003.0,0.2,7713:218:4,968.01
1,Alaska,26663.0,0.9,7716:218:2,993.59
1,Alaska,26664.0,1.0,7716:218:1,993.59
1,Alaska,26665.0,1.0,7716:217:2,993.59
1,Alaska,26666.0,1.0,7716:217:1,993.59
1,Alaska,26667.0,1.0,7716:216:2,993.59
1,Alaska,26668.0,1.0,7716:216:1,993.59
1,Alaska,26669.0,1.0,7716:215:2,993.59
1,Alaska,26670.0,1.0,7716:215:1,993.59
1,Alaska,26671.0,1.0,7716:114:2,993.59
1,Alaska,26672.0,1.0,7716:114:1,993.59
1,Alaska,26673.0,1.0,7716:113:2,993.59
1,Alaska,26674.0,1.0,7716:113:1,993.59
1,Alaska,26675.0,1.0,7716:112:2,993.59
1,Alaska,26676.0,1.0,7716:112:1,993.59
1,Alaska,26677.0,1.0,7716:111:2,993.59
1,Alaska,26678.0,1.0,7716:111:1,993.59
1,Alaska,26679.0,1.0,7716:110:2,993.59
1,Alaska,26680.0,1.0,7716:110:1,993.59
1,Alaska,26681.0,1.0,7715:219:2,993.59
1,Alaska,26682.0,1.0,7715:219:1,993.59
1,Alaska,26683.0,1.0,7715:218:2,993.59
1,Alaska,26684.0,1.0,7715:218:1,993.59
1,Alaska,26685.0,1.0,7715:217:2,993.59
1,Alaska,26686.0,0.88,7715:217:1,993.59
1,Alaska,26687.0,0.41,7715:216:2,993.59
1,Alaska,26688.0,0.49,7715:216:1,993.59
1,Alaska,26689.0,0.67,7715:215:2,993.59
1,Alaska,26690.0,0.91,7715:215:1,993.59
1,Alaska,26691.0,0.89,7715:114:2,993.59
1,Alaska,26692.0,1.0,7715:114:1,993.59
1,Alaska,26693.0,1.0,7715:113:2,993.59
1,Alaska,26694.0,1.0,7715:113:1,993.59
1,Alaska,26695.0,1.0,7715:112:2,993.59
1,Alaska,26696.0,1.0,7715:112:1,993.59
1,Alaska,26697.0,1.0,7715:111:2,993.59
1,Alaska,26698.0,1.0,7715:111:1,993.59
1,Alaska,26699.0,1.0,7715:110:2,993.59
1,Alaska,26700.0,1.0,7715:110:1,993.59
1,Alaska,26701.0,1.0,7714:219:2,993.59
1,Alaska,26702.0,1.0,7714:219:1,993.59
1,Alaska,26703.0,1.0,7714:218:2,993.59
1,Alaska,26704.0,1.0,7714:218:1,993.59
1,Alaska,26705.0,1.0,7714:217:2,993.59
1,Alaska,26706.0,1.0,7714:217:1,993.59
1,Alaska,26707.0,1.0,7714:216:2,993.59
1,Alaska,26708.0,1.0,7714:216:1,993.59
1,Alaska,26709.0,1.0,7714:215:2,993.59
1,Alaska,26710.0,1.0,7714:215:1,993.59
1,Alaska,26711.0,1.0,7714:114:2,993.59
1,Alaska,26712.0,1.0,7714:114:1,993.59
1,Alaska,26713.0,1.0,7714:113:2,993.59
1,Alaska,26714.0,1.0,7714:113:1,993.59
1,Alaska,26715.0,1.0,7714:112:2,993.59
1,Alaska,26716.0,1.0,7714:112:1,993.59
1,Alaska,26717.0,1.0,7714:111:2,993.59
1,Alaska,26718.0,1.0,7714:111:1,993.59
1,Alaska,26719.0,1.0,7714:110:2,993.59
1,Alaska,26720.0,1.0,7714:110:1,993.59
1,Alaska,26721.0,0.85,7713:219:2,993.59
1,Alaska,26722.0,0.13,7713:219:1,993.59
1,Alaska,27383.0,0.9,7716:208:4,1019.09
1,Alaska,27384.0,1.0,7716:208:3,1019.09
1,Alaska,27385.0,1.0,7716:207:4,1019.09
1,Alaska,27386.0,1.0,7716:207:3,1019.09
1,Alaska,27387.0,1.0,7716:206:4,1019.09
1,Alaska,27388.0,1.0,7716:206:3,1019.09
1,Alaska,27389.0,1.0,7716:205:4,1019.09
1,Alaska,27390.0,1.0,7716:205:3,1019.09
1,Alaska,27391.0,1.0,7716:104:4,1019.09
1,Alaska,27392.0,1.0,7716:104:3,1019.09
1,Alaska,27393.0,1.0,7716:103:4,1019.09
1,Alaska,27394.0,1.0,7716:103:3,1019.09
1,Alaska,27395.0,1.0,7716:102:4,1019.09
1,Alaska,27396.0,1.0,7716:102:3,1019.09
1,Alaska,27397.0,1.0,7716:101:4,1019.09
1,Alaska,27398.0,1.0,7716:101:3,1019.09
1,Alaska,27399.0,1.0,7716:100:4,1019.09
1,Alaska,27400.0,0.91,7716:100:3,1019.09
1,Alaska,27401.0,0.54,7715:209:4,1019.09
1,Alaska,27402.0,0.38,7715:209:3,1019.09
1,Alaska,27403.0,0.41,7715:208:4,1019.09
1,Alaska,27404.0,0.38,7715:208:3,1019.09
1,Alaska,27405.0,0.22,7715:207:4,1019.09
1,Alaska,27406.0,0.01,7715:207:3,1019.09
1,Alaska,27408.0,0.01,7715:206:3,1019.09
1,Alaska,27409.0,0.3,7715:205:4,1019.09
1,Alaska,27410.0,0.05,7715:205:3,1019.09
1,Alaska,27411.0,0.09,7715:104:4,1019.09
1,Alaska,27412.0,0.39,7715:104:3,1019.09
1,Alaska,27413.0,0.21,7715:103:4,1019.09
1,Alaska,27414.0,0.2,7715:103:3,1019.09
1,Alaska,27415.0,0.25,7715:102:4,1019.09
1,Alaska,27416.0,0.71,7715:102:3,1019.09
1,Alaska,27417.0,0.94,7715:101:4,1019.09
1,Alaska,27418.0,1.0,7715:101:3,1019.09
1,Alaska,27419.0,1.0,7715:100:4,1019.09
1,Alaska,27420.0,1.0,7715:100:3,1019.09
1,Alaska,27421.0,1.0,7714:209:4,1019.09
1,Alaska,27422.0,1.0,7714:209:3,1019.09
1,Alaska,27423.0,1.0,7714:208:4,1019.09
1,Alaska,27424.0,1.0,7714:208:3,1019.09
1,Alaska,27425.0,1.0,7714:207:4,1019.09
1,Alaska,27426.0,1.0,7714:207:3,1019.09
1,Alaska,27427.0,1.0,7714:206:4,1019.09
1,Alaska,27428.0,1.0,7714:206:3,1019.09
1,Alaska,27429.0,1.0,7714:205:4,1019.09
1,Alaska,27430.0,1.0,7714:205:3,1019.09
1,Alaska,27431.0,1.0,7714:104:4,1019.09
1,Alaska,27432.0,1.0,7714:104:3,1019.09
1,Alaska,27433.0,1.0,7714:103:4,1019.09
1,Alaska,27434.0,1.0,7714:103:3,1019.09
1,Alaska,27435.0,1.0,7714:102:4,1019.09
1,Alaska,27436.0,1.0,7714:102:3,1019.09
1,Alaska,27437.0,1.0,7714:101:4,1019.09
1,Alaska,27438.0,1.0,7714:101:3,1019.09
1,Alaska,27439.0,1.0,7714:100:4,1019.09
1,Alaska,27440.0,0.94,7714:100:3,1019.09
1,Alaska,27441.0,0.17,7713:209:4,1019.09
1,Alaska,28103.0,0.9,7716:208:2,1044.52
1,Alaska,28104.0,1.0,7716:208:1,1044.52
1,Alaska,28105.0,1.0,7716:207:2,1044.52
1,Alaska,28106.0,1.0,7716:207:1,1044.52
1,Alaska,28107.0,1.0,7716:206:2,1044.52
1,Alaska,28108.0,1.0,7716:206:1,1044.52
1,Alaska,28109.0,1.0,7716:205:2,1044.52
1,Alaska,28110.0,1.0,7716:205:1,1044.52
1,Alaska,28111.0,1.0,7716:104:2,1044.52
1,Alaska,28112.0,1.0,7716:104:1,1044.52
1,Alaska,28113.0,1.0,7716:103:2,1044.52
1,Alaska,28114.0,1.0,7716:103:1,1044.52
1,Alaska,28115.0,0.99,7716:102:2,1044.52
1,Alaska,28116.0,0.74,7716:102:1,1044.52
1,Alaska,28117.0,0.51,7716:101:2,1044.52
1,Alaska,28118.0,0.45,7716:101:1,1044.52
1,Alaska,28119.0,0.23,7716:100:2,1044.52
1,Alaska,28120.0,0.04,7716:100:1,1044.52
1,Alaska,28121.0,0.11,7715:209:2,1044.52
1,Alaska,28137.0,0.08,7715:101:2,1044.52
1,Alaska,28138.0,0.17,7715:101:1,1044.52
1,Alaska,28139.0,0.05,7715:100:2,1044.52
1,Alaska,28140.0,0.09,7715:100:1,1044.52
1,Alaska,28141.0,0.01,7714:209:2,1044.52
1,Alaska,28142.0,0.03,7714:209:1,1044.52
1,Alaska,28143.0,0.16,7714:208:2,1044.52
1,Alaska,28144.0,0.34,7714:208:1,1044.52
1,Alaska,28145.0,0.52,7714:207:2,1044.52
1,Alaska,28146.0,0.64,7714:207:1,1044.52
1,Alaska,28147.0,0.63,7714:206:2,1044.52
1,Alaska,28148.0,0.64,7714:206:1,1044.52
1,Alaska,28149.0,0.74,7714:205:2,1044.52
1,Alaska,28150.0,0.95,7714:205:1,1044.52
1,Alaska,28151.0,1.0,7714:104:2,1044.52
1,Alaska,28152.0,0.9,7714:104:1,1044.52
1,Alaska,28153.0,0.8,7714:103:2,1044.52
1,Alaska,28154.0,0.8,7714:103:1,1044.52
1,Alaska,28155.0,0.93,7714:102:2,1044.52
1,Alaska,28156.0,1.0,7714:102:1,1044.52
1,Alaska,28157.0,1.0,7714:101:2,1044.52
1,Alaska,28158.0,1.0,7714:101:1,1044.52
1,Alaska,28159.0,1.0,7714:100:2,1044.52
1,Alaska,28160.0,0.41,7714:100:1,1044.52
1,Alaska,28823.0,0.9,7616:498:4,1069.87
1,Alaska,28824.0,1.0,7616:498:3,1069.87
1,Alaska,28825.0,1.0,7616:497:4,1069.87
1,Alaska,28826.0,1.0,7616:497:3,1069.87
1,Alaska,28827.0,1.0,7616:496:4,1069.87
1,Alaska,28828.0,1.0,7616:496:3,1069.87
1,Alaska,28829.0,1.0,7616:495:4,1069.87
1,Alaska,28830.0,1.0,7616:495:3,1069.87
1,Alaska,28831.0,1.0,7616:394:4,1069.87
1,Alaska,28832.0,1.0,7616:394:3,1069.87
1,Alaska,28833.0,1.0,7616:393:4,1069.87
