comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2016,cat,cat_txt,cat_score,year,cat_2016_score
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1975.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1975.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1976.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1976.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1976.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1976.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1976.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1977.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1977.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1977.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1977.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1977.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1978.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1978.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1978.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1978.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1978.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1979.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1979.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1979.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1979.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1979.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1980.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1980.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1980.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1980.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,1980.0,NA
