iucn_sid,iucn_rgn_name,presence,origin,distribution_code,rgn_id,ohi_rgn_name,comname,sciname,ico_gl,ico_rgn_id,subpop,cat
6335,Canada,Extant,Native,Native,3,Beaufort,Beluga Whale,Delphinapterus leucas,FALSE,3,NA,NT
6335,Greenland,Extant,Native,Native,8,West Greenland,Beluga whale,Delphinapterus leucas,FALSE,8,NA,NT
6335,Greenland,Extant,Native,Native,9,East Greenland,Beluga whale,Delphinapterus leucas,FALSE,9,NA,NT
6335,United States,Extant,Native,Native,1,Alaska,Beluga Whale,Delphinapterus leucas,FALSE,1,NA,NT
61442,United States,Extant,Native,Native,1,Alaska,Beluga Whale,Delphinapterus leucas,FALSE,1,Cook Inlet subpopulation,CR
6335,Canada,Extant,Native,Native,2,Nunavut,Beluga Whale,Delphinapterus leucas,FALSE,2,NA,NT
6335,Canada,Extant,Native,Native,3,Beaufort,Beluga Whale,Delphinapterus leucas,FALSE,3,NA,NT
6335,Greenland,Extant,Native,Native,8,West Greenland,Beluga whale,Delphinapterus leucas,FALSE,8,NA,NT
6335,Greenland,Extant,Native,Native,9,East Greenland,Beluga whale,Delphinapterus leucas,FALSE,9,NA,NT
6335,United States,Extant,Native,Native,1,Alaska,Beluga Whale,Delphinapterus leucas,FALSE,1,NA,NT
61442,United States,Extant,Native,Native,1,Alaska,Beluga Whale,Delphinapterus leucas,FALSE,1,Cook Inlet subpopulation,CR
6335,Canada,Extant,Native,Native,2,Nunavut,Beluga Whale,Delphinapterus leucas,FALSE,2,NA,NT
6335,Canada,Extant,Native,Native,3,Beaufort,Beluga Whale,Delphinapterus leucas,FALSE,3,NA,NT
6335,Greenland,Extant,Native,Native,8,West Greenland,Beluga whale,Delphinapterus leucas,FALSE,8,NA,NT
6335,Greenland,Extant,Native,Native,9,East Greenland,Beluga whale,Delphinapterus leucas,FALSE,9,NA,NT
6335,United States,Extant,Native,Native,1,Alaska,Beluga Whale,Delphinapterus leucas,FALSE,1,NA,NT
61442,United States,Extant,Native,Native,1,Alaska,Beluga Whale,Delphinapterus leucas,FALSE,1,Cook Inlet subpopulation,CR
22694861,Greenland,Extant,Native,Native,8,West Greenland,Black guillemot,Cepphus grylle,FALSE,8,NA,LC
22694861,Greenland,Extant,Native,Native,9,East Greenland,Black guillemot,Cepphus grylle,FALSE,9,NA,LC
22694861,Norway,Extant,Native,Native,6,Norway,Black guillemot,Cepphus grylle,FALSE,6,NA,LC
22694861,Svalbard and Jan Mayen,Extant,Native,Native,5,Svalbard,Black guillemot,Cepphus grylle,FALSE,5,NA,LC
22694861,Greenland,Extant,Native,Native,8,West Greenland,Black guillemot,Cepphus grylle,FALSE,8,NA,LC
22694861,Greenland,Extant,Native,Native,9,East Greenland,Black guillemot,Cepphus grylle,FALSE,9,NA,LC
