"cell_id","ocean","fao_id","rgn_name","proportionArea","rgn_id","area"
508,"Arctic",18,NA,NA,NA,NA
509,"Arctic",18,NA,NA,NA,NA
510,"Arctic",18,NA,NA,NA,NA
511,"Arctic",18,NA,NA,NA,NA
512,"Arctic",18,NA,NA,NA,NA
513,"Arctic",18,NA,NA,NA,NA
514,"Arctic",18,NA,NA,NA,NA
515,"Arctic",18,NA,NA,NA,NA
516,"Arctic",18,NA,NA,NA,NA
517,"Arctic",18,NA,NA,NA,NA
518,"Arctic",18,NA,NA,NA,NA
519,"Arctic",18,NA,NA,NA,NA
520,"Arctic",18,NA,NA,NA,NA
521,"Arctic",18,NA,NA,NA,NA
522,"Arctic",18,NA,NA,NA,NA
523,"Arctic",18,NA,NA,NA,NA
524,"Arctic",18,NA,NA,NA,NA
525,"Arctic",18,NA,NA,NA,NA
526,"Arctic",18,NA,NA,NA,NA
527,"Arctic",18,NA,NA,NA,NA
528,"Arctic",18,NA,NA,NA,NA
529,"Arctic",18,NA,NA,NA,NA
530,"Arctic",18,NA,NA,NA,NA
531,"Arctic",18,NA,NA,NA,NA
532,"Arctic",18,NA,NA,NA,NA
533,"Arctic",18,NA,NA,NA,NA
534,"Arctic",18,NA,NA,NA,NA
535,"Arctic",18,NA,NA,NA,NA
536,"Arctic",18,NA,NA,NA,NA
537,"Arctic",18,NA,NA,NA,NA
538,"Arctic",18,NA,NA,NA,NA
539,"Arctic",18,NA,NA,NA,NA
540,"Arctic",18,NA,NA,NA,NA
541,"Arctic",18,NA,NA,NA,NA
542,"Arctic",18,NA,NA,NA,NA
543,"Arctic",18,NA,NA,NA,NA
544,"Arctic",18,NA,NA,NA,NA
545,"Arctic",18,NA,NA,NA,NA
546,"Arctic",18,NA,NA,NA,NA
547,"Arctic",18,NA,NA,NA,NA
548,"Arctic",18,NA,NA,NA,NA
549,"Arctic",18,NA,NA,NA,NA
550,"Arctic",18,NA,NA,NA,NA
551,"Arctic",18,NA,NA,NA,NA
552,"Arctic",18,NA,NA,NA,NA
553,"Arctic",18,NA,NA,NA,NA
554,"Arctic",18,NA,NA,NA,NA
555,"Arctic",18,NA,NA,NA,NA
556,"Arctic",18,NA,NA,NA,NA
557,"Arctic",18,NA,NA,NA,NA
558,"Arctic",18,NA,NA,NA,NA
559,"Arctic",18,NA,NA,NA,NA
560,"Arctic",18,NA,NA,NA,NA
561,"Arctic",18,NA,NA,NA,NA
562,"Arctic",18,NA,NA,NA,NA
563,"Arctic",18,NA,NA,NA,NA
564,"Arctic",18,NA,NA,NA,NA
565,"Arctic",18,NA,NA,NA,NA
566,"Arctic",18,NA,NA,NA,NA
567,"Arctic",18,NA,NA,NA,NA
568,"Arctic",18,NA,NA,NA,NA
569,"Arctic",18,NA,NA,NA,NA
570,"Arctic",18,NA,NA,NA,NA
571,"Arctic",18,NA,NA,NA,NA
572,"Arctic",18,NA,NA,NA,NA
573,"Arctic",18,NA,NA,NA,NA
574,"Arctic",18,NA,NA,NA,NA
575,"Arctic",18,NA,NA,NA,NA
576,"Arctic",18,NA,NA,NA,NA
577,"Arctic",18,NA,NA,NA,NA
578,"Arctic",18,NA,NA,NA,NA
579,"Arctic",18,NA,NA,NA,NA
580,"Arctic",18,NA,NA,NA,NA
581,"Arctic",18,NA,NA,NA,NA
582,"Arctic",18,NA,NA,NA,NA
583,"Arctic",18,NA,NA,NA,NA
584,"Arctic",18,NA,NA,NA,NA
585,"Arctic",18,NA,NA,NA,NA
586,"Arctic",18,NA,NA,NA,NA
587,"Arctic",18,NA,NA,NA,NA
588,"Arctic",18,NA,NA,NA,NA
589,"Arctic",18,NA,NA,NA,NA
590,"Arctic",18,NA,NA,NA,NA
591,"Arctic",18,NA,NA,NA,NA
592,"Arctic",18,NA,NA,NA,NA
593,"Arctic",18,NA,NA,NA,NA
594,"Arctic",18,NA,NA,NA,NA
595,"Arctic",18,NA,NA,NA,NA
596,"Arctic",18,NA,NA,NA,NA
597,"Arctic",18,NA,NA,NA,NA
598,"Arctic",18,NA,NA,NA,NA
599,"Arctic",18,NA,NA,NA,NA
600,"Arctic",18,NA,NA,NA,NA
601,"Arctic",18,NA,NA,NA,NA
602,"Arctic",18,NA,NA,NA,NA
603,"Arctic",18,NA,NA,NA,NA
604,"Arctic",18,NA,NA,NA,NA
605,"Arctic",18,NA,NA,NA,NA
606,"Arctic",18,NA,NA,NA,NA
607,"Arctic",18,NA,NA,NA,NA
608,"Arctic",18,NA,NA,NA,NA
609,"Arctic",18,NA,NA,NA,NA
610,"Arctic",18,NA,NA,NA,NA
611,"Arctic",18,NA,NA,NA,NA
612,"Arctic",18,NA,NA,NA,NA
613,"Arctic",18,NA,NA,NA,NA
614,"Arctic",18,NA,NA,NA,NA
615,"Arctic",18,NA,NA,NA,NA
616,"Arctic",18,NA,NA,NA,NA
617,"Arctic",18,NA,NA,NA,NA
618,"Arctic",18,NA,NA,NA,NA
619,"Arctic",18,NA,NA,NA,NA
620,"Arctic",18,NA,NA,NA,NA
621,"Arctic",18,NA,NA,NA,NA
622,"Arctic",18,NA,NA,NA,NA
623,"Arctic",18,NA,NA,NA,NA
624,"Arctic",18,NA,NA,NA,NA
625,"Arctic",18,NA,NA,NA,NA
626,"Arctic",18,NA,NA,NA,NA
627,"Arctic",18,NA,NA,NA,NA
628,"Arctic",18,NA,NA,NA,NA
629,"Arctic",18,NA,NA,NA,NA
630,"Arctic",18,NA,NA,NA,NA
631,"Arctic",18,NA,NA,NA,NA
632,"Arctic",18,NA,NA,NA,NA
633,"Arctic",18,NA,NA,NA,NA
634,"Arctic",18,NA,NA,NA,NA
635,"Arctic",18,NA,NA,NA,NA
636,"Arctic",18,NA,NA,NA,NA
637,"Arctic",18,NA,NA,NA,NA
638,"Arctic",18,NA,NA,NA,NA
639,"Arctic",18,NA,NA,NA,NA
640,"Arctic",18,NA,NA,NA,NA
641,"Arctic",18,NA,NA,NA,NA
642,"Arctic",18,NA,NA,NA,NA
643,"Arctic",18,NA,NA,NA,NA
644,"Arctic",18,NA,NA,NA,NA
645,"Arctic",18,NA,NA,NA,NA
646,"Arctic",18,NA,NA,NA,NA
647,"Arctic",18,NA,NA,NA,NA
648,"Arctic",18,NA,NA,NA,NA
649,"Arctic",18,NA,NA,NA,NA
650,"Arctic",18,NA,NA,NA,NA
651,"Arctic",18,NA,NA,NA,NA
652,"Arctic",18,NA,NA,NA,NA
653,"Arctic",18,NA,NA,NA,NA
654,"Arctic",18,NA,NA,NA,NA
655,"Arctic",18,NA,NA,NA,NA
656,"Arctic",18,NA,NA,NA,NA
657,"Arctic",18,NA,NA,NA,NA
658,"Arctic",18,NA,NA,NA,NA
659,"Arctic",18,NA,NA,NA,NA
660,"Arctic",18,NA,NA,NA,NA
661,"Arctic",18,NA,NA,NA,NA
662,"Arctic",18,NA,NA,NA,NA
663,"Arctic",18,NA,NA,NA,NA
664,"Arctic",18,NA,NA,NA,NA
665,"Arctic",18,NA,NA,NA,NA
666,"Arctic",18,NA,NA,NA,NA
667,"Arctic",18,NA,NA,NA,NA
668,"Arctic",18,NA,NA,NA,NA
