"goal","dimension","region_id","score"
"ICO","pressures",4,38.61
"ICO","pressures",5,20.8
"ICO","pressures",6,20.8
"ICO","pressures",7,20.8
"ICO","pressures",8,22.51
"ICO","pressures",9,22.51
"ICO","resilience",1,70.6
"ICO","resilience",2,77.83
"ICO","resilience",3,77.83
"ICO","resilience",4,58.14
"ICO","resilience",5,84.43
"ICO","resilience",6,84.43
"ICO","resilience",7,84.43
"ICO","resilience",8,75.78
"ICO","resilience",9,75.78
"ICO","score",0,59.26
"ICO","score",1,61.06
"ICO","score",2,66.16
"ICO","score",3,66.16
"ICO","score",4,53.83
"ICO","score",5,59.93
"ICO","score",6,59.93
"ICO","score",7,59.93
"ICO","score",8,62.01
"ICO","score",9,62.01
"ICO","status",0,57.29
"ICO","status",1,60.95
"ICO","status",2,61.88
"ICO","status",3,61.88
"ICO","status",4,54.62
"ICO","status",5,57.5
"ICO","status",6,57.5
"ICO","status",7,57.5
"ICO","status",8,57
"ICO","status",9,57
"ICO","trend",1,-0.22
"ICO","trend",2,-0.11
"ICO","trend",3,-0.11
"ICO","trend",4,-0.14
"ICO","trend",5,-0.19
"ICO","trend",6,-0.19
"ICO","trend",7,-0.19
"ICO","trend",8,0
"ICO","trend",9,0
"Index","future",0,79.59
"Index","future",1,79.99
"Index","future",2,80.27
"Index","future",3,76.47
"Index","future",4,73.45
"Index","future",5,82.27
"Index","future",6,76.04
"Index","future",7,72.12
"Index","future",8,93.4
"Index","future",9,93.39
"Index","score",0,77.17
"Index","score",1,78.12
"Index","score",2,75.98
"Index","score",3,72.95
"Index","score",4,73.56
"Index","score",5,78.78
"Index","score",6,73.02
"Index","score",7,68.61
"Index","score",8,89.16
"Index","score",9,87.67
"LE","future",0,84.67
"LE","future",1,100
"LE","future",2,100
"LE","future",3,89.18
"LE","future",4,74.08
"LE","future",5,100
"LE","future",6,100
"LE","future",7,
"LE","future",8,78.42
"LE","future",9,78.42
"LE","pressures",1,
"LE","pressures",2,
"LE","pressures",3,
"LE","pressures",4,
"LE","pressures",5,
"LE","pressures",6,
"LE","pressures",7,
"LE","pressures",8,
"LE","pressures",9,
"LE","resilience",1,
"LE","resilience",2,
"LE","resilience",3,
"LE","resilience",4,
"LE","resilience",5,
"LE","resilience",6,
"LE","resilience",7,
"LE","resilience",8,
"LE","resilience",9,
"LE","score",0,91.1
"LE","score",1,99.97
"LE","score",2,99.99
"LE","score",3,92.88
"LE","score",4,86.71
"LE","score",5,100
"LE","score",6,100
"LE","score",7,
"LE","score",8,84.38
"LE","score",9,84.38
"LE","status",0,97.53
"LE","status",1,99.95
"LE","status",2,99.97
"LE","status",3,96.57
"LE","status",4,99.33
"LE","status",5,100
"LE","status",6,100
"LE","status",7,
"LE","status",8,90.33
"LE","status",9,90.33
"LE","trend",1,0.79
"LE","trend",2,0.34
"LE","trend",3,-0.35
"LE","trend",4,0.1
"LE","trend",5,0.74
"LE","trend",6,0.75
"LE","trend",7,
"LE","trend",8,-0.41
"LE","trend",9,-0.41
"LIV","future",0,72.02
"LIV","future",1,100
"LIV","future",2,100
"LIV","future",3,78.36
"LIV","future",4,48.17
"LIV","future",5,100
"LIV","future",6,100
"LIV","future",7,
"LIV","future",8,69.95
"LIV","future",9,69.95
"LIV","pressures",1,24.01
"LIV","pressures",2,13.62
"LIV","pressures",3,13.62
"LIV","pressures",4,38.35
"LIV","pressures",5,17.73
"LIV","pressures",6,17.73
"LIV","pressures",7,17.73
"LIV","pressures",8,15.89
"LIV","pressures",9,15.89
"LIV","resilience",1,51.14
"LIV","resilience",2,63.33
"LIV","resilience",3,63.33
"LIV","resilience",4,46.15
"LIV","resilience",5,71.35
"LIV","resilience",6,71.35
"LIV","resilience",7,71.35
"LIV","resilience",8,50.4
"LIV","resilience",9,50.4
"LIV","score",0,85.11
"LIV","score",1,99.95
"LIV","score",2,99.97
"LIV","score",3,85.75
"LIV","score",4,73.41
"LIV","score",5,100
"LIV","score",6,100
"LIV","score",7,
"LIV","score",8,83.01
"LIV","score",9,83.01
"LIV","status",0,98.21
"LIV","status",1,99.89
"LIV","status",2,99.94
"LIV","status",3,93.14
"LIV","status",4,98.66
"LIV","status",5,100
"LIV","status",6,100
"LIV","status",7,
"LIV","status",8,96.07
"LIV","status",9,96.07
"LIV","trend",1,0.57
"LIV","trend",2,0.42
"LIV","trend",3,-0.48
"LIV","trend",4,-0.8
"LIV","trend",5,0.48
"LIV","trend",6,0.5
"LIV","trend",7,
"LIV","trend",8,-0.58
"LIV","trend",9,-0.58
"LSP","future",0,81.76
"LSP","future",1,80.21
"LSP","future",2,27.48
"LSP","future",3,27.48
"LSP","future",4,91.35
"LSP","future",5,100
"LSP","future",6,100
"LSP","future",7,100
"LSP","future",8,100
"LSP","future",9,100
"LSP","pressures",1,29.73
"LSP","pressures",2,15.56
"LSP","pressures",3,15.56
"LSP","pressures",4,38.52
"LSP","pressures",5,23.86
"LSP","pressures",6,23.86
"LSP","pressures",7,23.86
"LSP","pressures",8,18.95
"LSP","pressures",9,18.95
"LSP","resilience",1,46.19
"LSP","resilience",2,75.07
"LSP","resilience",3,75.07
"LSP","resilience",4,61.06
"LSP","resilience",5,93.11
"LSP","resilience",6,93.11
"LSP","resilience",7,93.11
"LSP","resilience",8,82.15
"LSP","resilience",9,82.15
"LSP","score",0,79.27
"LSP","score",1,78.02
"LSP","score",2,25.22
"LSP","score",3,25.22
"LSP","score",4,88.19
"LSP","score",5,95.86
"LSP","score",6,95.86
"LSP","score",7,95.86
"LSP","score",8,100
"LSP","score",9,100
"LSP","status",0,76.77
"LSP","status",1,75.83
"LSP","status",2,22.95
"LSP","status",3,22.95
"LSP","status",4,85.03
"LSP","status",5,91.71
"LSP","status",6,91.71
"LSP","status",7,91.71
"LSP","status",8,100
"LSP","status",9,100
"LSP","trend",1,0.01
"LSP","trend",2,0
"LSP","trend",3,0
"LSP","trend",4,0
"LSP","trend",5,0
"LSP","trend",6,0
"LSP","trend",7,0
"LSP","trend",8,0
"LSP","trend",9,0
"MAR","future",0,34.76
"MAR","future",1,32.79
"MAR","future",2,35.92
"MAR","future",3,35.92
"MAR","future",4,32.11
"MAR","future",5,37.2
"MAR","future",6,37.2
"MAR","future",7,37.2
"MAR","future",8,36.96
"MAR","future",9,36.96
"MAR","pressures",1,23.05
"MAR","pressures",2,12.16
"MAR","pressures",3,12.16
"MAR","pressures",4,35.25
"MAR","pressures",5,13.5
"MAR","pressures",6,13.5
"MAR","pressures",7,13.5
"MAR","pressures",8,12.38
"MAR","pressures",9,12.38
"MAR","resilience",1,51.2
"MAR","resilience",2,71.96
"MAR","resilience",3,71.96
"MAR","resilience",4,56.53
"MAR","resilience",5,86.27
"MAR","resilience",6,86.27
"MAR","resilience",7,86.27
"MAR","resilience",8,82.71
"MAR","resilience",9,82.71
"MAR","score",0,32.38
"MAR","score",1,31.39
"MAR","score",2,32.96
"MAR","score",3,32.96
"MAR","score",4,31.05
"MAR","score",5,33.6
"MAR","score",6,33.6
"MAR","score",7,33.6
"MAR","score",8,33.48
"MAR","score",9,33.48
"MAR","status",0,30
"MAR","status",1,30
"MAR","status",2,30
"MAR","status",3,30
"MAR","status",4,30
"MAR","status",5,30
"MAR","status",6,30
"MAR","status",7,30
"MAR","status",8,30
"MAR","status",9,30
"MAR","trend",1,0
"MAR","trend",2,0
"MAR","trend",3,0
"MAR","trend",4,0
"MAR","trend",5,0
"MAR","trend",6,0
"MAR","trend",7,0
"MAR","trend",8,0
"MAR","trend",9,0
"NP","future",0,81.83
"NP","future",1,100
"NP","future",2,100
"NP","future",3,
"NP","future",4,80.44
"NP","future",5,
"NP","future",6,26.2
"NP","future",7,18.75
"NP","future",8,100
"NP","future",9,100
"NP","pressures",1,18.76
"NP","pressures",2,13.05
"NP","pressures",3,13.05
"NP","pressures",4,35.19
"NP","pressures",5,11.96
"NP","pressures",6,11.96
"NP","pressures",7,11.96
"NP","pressures",8,14.96
"NP","pressures",9,14.96
"NP","resilience",1,72.06
"NP","resilience",2,79.5
"NP","resilience",3,79.5
"NP","resilience",4,61.69
"NP","resilience",5,89.47
"NP","resilience",6,89.47
"NP","resilience",7,89.47
"NP","resilience",8,77.66
"NP","resilience",9,77.66
"NP","score",0,76.48
"NP","score",1,93.75
"NP","score",2,94
"NP","score",3,
"NP","score",4,75.47
"NP","score",5,
"NP","score",6,26.1
"NP","score",7,18.13
"NP","score",8,98.25
"NP","score",9,87
"NP","status",0,71.14
"NP","status",1,87.5
"NP","status",2,88
"NP","status",3,
"NP","status",4,70.5
"NP","status",5,
"NP","status",6,26
"NP","status",7,17.5
"NP","status",8,96.5
"NP","status",9,74
"NP","trend",1,0.5
"NP","trend",2,0.21
"NP","trend",3,
"NP","trend",4,0.08
"NP","trend",5,
"NP","trend",6,-0.37
"NP","trend",7,-0.28
"NP","trend",8,0.14
"NP","trend",9,0.26
"SP","future",0,71.49
"SP","future",1,70.68
"SP","future",2,48.97
"SP","future",3,48.97
"SP","future",4,72.2
"SP","future",5,81.18
"SP","future",6,81.18
"SP","future",7,81.18
"SP","future",8,83.51
"SP","future",9,83.51
"SP","pressures",1,
"SP","pressures",2,
"SP","pressures",3,
"SP","pressures",4,
"SP","pressures",5,
"SP","pressures",6,
"SP","pressures",7,
"SP","pressures",8,
"SP","pressures",9,
"SP","resilience",1,
"SP","resilience",2,
"SP","resilience",3,
"SP","resilience",4,
"SP","resilience",5,
"SP","resilience",6,
"SP","resilience",7,
"SP","resilience",8,
"SP","resilience",9,
"SP","score",0,69.26
"SP","score",1,69.54
"SP","score",2,45.69
"SP","score",3,45.69
"SP","score",4,71.01
"SP","score",5,77.89
"SP","score",6,77.89
"SP","score",7,77.89
"SP","score",8,81.01
"SP","score",9,81.01
"SP","status",0,67.03
"SP","status",1,68.39
"SP","status",2,42.41
"SP","status",3,42.41
"SP","status",4,69.82
"SP","status",5,74.61
"SP","status",6,74.61
"SP","status",7,74.61
"SP","status",8,78.5
"SP","status",9,78.5
"SP","trend",1,-0.11
"SP","trend",2,-0.05
"SP","trend",3,-0.05
"SP","trend",4,-0.07
"SP","trend",5,-0.09
"SP","trend",6,-0.09
"SP","trend",7,-0.09
"SP","trend",8,0
"SP","trend",9,0
"SPP","future",0,93.16
"SPP","future",1,90.49
"SPP","future",2,99.73
"SPP","future",3,92.53
"SPP","future",4,84.64
"SPP","future",5,100
"SPP","future",6,100
"SPP","future",7,100
"SPP","future",8,100
"SPP","future",9,99.84
"SPP","pressures",1,22.84
"SPP","pressures",2,16.02
"SPP","pressures",3,16.02
"SPP","pressures",4,39.09
"SPP","pressures",5,19.36
"SPP","pressures",6,19.36
"SPP","pressures",7,19.36
"SPP","pressures",8,20.92
"SPP","pressures",9,20.92
"SPP","resilience",1,55.69
"SPP","resilience",2,71.66
"SPP","resilience",3,71.66
"SPP","resilience",4,51.15
"SPP","resilience",5,80.9
"SPP","resilience",6,80.9
"SPP","resilience",7,80.9
"SPP","resilience",8,72.34
"SPP","resilience",9,72.34
"SPP","score",0,91.43
"SPP","score",1,90.96
"SPP","score",2,95.87
"SPP","score",3,91.69
"SPP","score",4,87.01
"SPP","score",5,92.84
"SPP","score",6,94.37
"SPP","score",7,93.74
"SPP","score",8,95.87
"SPP","score",9,94.4
"SPP","status",0,89.69
"SPP","status",1,91.42
"SPP","status",2,92.01
"SPP","status",3,90.85
"SPP","status",4,89.37
"SPP","status",5,85.69
"SPP","status",6,88.75
"SPP","status",7,87.49
"SPP","status",8,91.74
"SPP","status",9,88.95
"SPP","trend",1,-0.18
"SPP","trend",2,-0.15
"SPP","trend",3,-0.25
"SPP","trend",4,-0.14
"SPP","trend",5,-0.05
"SPP","trend",6,-0.09
"SPP","trend",7,-0.06
"SPP","trend",8,-0.04
"SPP","trend",9,-0.07
"TR","future",0,62.23
"TR","future",1,94.13
"TR","future",2,67.2
"TR","future",3,67.2
"TR","future",4,25.81
"TR","future",5,100
"TR","future",6,100
"TR","future",7,100
"TR","future",8,86.71
"TR","future",9,86.71
"TR","pressures",1,39.28
"TR","pressures",2,20.19
"TR","pressures",3,20.19
"TR","pressures",4,46.8
"TR","pressures",5,35.76
"TR","pressures",6,35.76
"TR","pressures",7,35.76
"TR","pressures",8,24.25
"TR","pressures",9,24.25
"TR","resilience",1,37.1
"TR","resilience",2,65.98
"TR","resilience",3,65.98
"TR","resilience",4,67.88
"TR","resilience",5,93.11
"TR","resilience",6,93.11
"TR","resilience",7,93.11
"TR","resilience",8,88.96
"TR","resilience",9,88.96
"TR","score",0,58.65
"TR","score",1,90.05
"TR","score",2,61.6
"TR","score",3,61.6
"TR","score",4,24.84
"TR","score",5,100
"TR","score",6,100
"TR","score",7,100
"TR","score",8,76.96
"TR","score",9,76.96
"TR","status",0,55.08
"TR","status",1,85.97
"TR","status",2,56
"TR","status",3,56
"TR","status",4,23.87
"TR","status",5,100
"TR","status",6,100
"TR","status",7,100
"TR","status",8,67.21
"TR","status",9,67.21
"TR","trend",1,0.15
"TR","trend",2,0.07
"TR","trend",3,0.07
"TR","trend",4,0.02
"TR","trend",5,0
"TR","trend",6,0
"TR","trend",7,0
"TR","trend",8,0.11
"TR","trend",9,0.11
